"","municipality_code","accident_severity_category_fr","tot_accident_municipality","tot_accident_severity_category"
"2415",5586,"accident avec blessés légers",378,310
"2416",5587,"accident avec blessés graves",17,5
"2417",5587,"accident avec blessés légers",17,12
"2418",5588,"accident avec blessés légers",2,2
"2419",5589,"accident avec blessés graves",16,4
"2420",5589,"accident avec blessés légers",16,12
"2421",5590,"accident avec blessés graves",16,2
"2422",5590,"accident avec blessés légers",16,14
"2423",5591,"accident avec blessés graves",29,3
"2424",5591,"accident avec blessés légers",29,26
"2425",5592,"accident avec blessés graves",7,1
"2426",5592,"accident avec blessés légers",7,6
"2427",5601,"accident avec blessés graves",9,1
"2428",5601,"accident avec blessés légers",9,8
"2429",5604,"accident avec tués",9,2
"2430",5604,"accident avec blessés graves",9,4
"2431",5604,"accident avec blessés légers",9,3
"2432",5606,"accident avec blessés graves",17,5
"2433",5606,"accident avec blessés légers",17,12
"2434",5607,"accident avec tués",8,1
"2435",5607,"accident avec blessés graves",8,2
"2436",5607,"accident avec blessés légers",8,5
"2437",5610,"accident avec blessés graves",3,2
"2438",5610,"accident avec blessés légers",3,1
"2439",5611,"accident avec blessés graves",5,1
"2440",5611,"accident avec blessés légers",5,4
"2441",5613,"accident avec tués",15,1
"2442",5613,"accident avec blessés graves",15,1
"2443",5613,"accident avec blessés légers",15,13
"2444",5621,"accident avec blessés graves",3,1
"2445",5621,"accident avec blessés légers",3,2
"2446",5623,"accident avec blessés légers",1,1
"2447",5624,"accident avec tués",17,3
"2448",5624,"accident avec blessés graves",17,5
"2449",5624,"accident avec blessés légers",17,9
"2450",5627,"accident avec blessés légers",11,11
"2451",5632,"accident avec blessés graves",3,1
"2452",5632,"accident avec blessés légers",3,2
"2453",5633,"accident avec tués",7,1
"2454",5633,"accident avec blessés graves",7,1
"2455",5633,"accident avec blessés légers",7,5
"2456",5634,"accident avec blessés légers",3,3
"2457",5635,"accident avec blessés graves",23,5
"2458",5635,"accident avec blessés légers",23,18
"2459",5636,"accident avec blessés graves",7,1
"2460",5636,"accident avec blessés légers",7,6
"2461",5637,"accident avec blessés graves",1,1
"2462",5638,"accident avec blessés graves",8,2
"2463",5638,"accident avec blessés légers",8,6
"2464",5642,"accident avec blessés graves",38,5
"2465",5642,"accident avec blessés légers",38,33
"2466",5643,"accident avec blessés légers",6,6
"2467",5646,"accident avec tués",10,1
"2468",5646,"accident avec blessés graves",10,2
"2469",5646,"accident avec blessés légers",10,7
"2470",5648,"accident avec blessés légers",4,4
"2471",5649,"accident avec blessés graves",10,2
"2472",5649,"accident avec blessés légers",10,8
"2473",5651,"accident avec blessés graves",3,1
"2474",5651,"accident avec blessés légers",3,2
"2475",5656,"accident avec blessés graves",7,5
"2476",5656,"accident avec blessés légers",7,2
"2477",5665,"accident avec blessés graves",2,1
"2478",5665,"accident avec blessés légers",2,1
"2479",5669,"accident avec blessés légers",1,1
"2480",5675,"accident avec blessés graves",5,2
"2481",5675,"accident avec blessés légers",5,3
"2482",5678,"accident avec blessés graves",4,1
"2483",5678,"accident avec blessés légers",4,3
"2484",5693,"accident avec blessés graves",6,4
"2485",5693,"accident avec blessés légers",6,2
"2486",5701,"accident avec blessés légers",2,2
"2487",5702,"accident avec blessés graves",6,2
"2488",5702,"accident avec blessés légers",6,4
"2489",5703,"accident avec blessés légers",2,2
"2490",5704,"accident avec blessés graves",4,1
"2491",5704,"accident avec blessés légers",4,3
"2492",5705,"accident avec blessés graves",7,1
"2493",5705,"accident avec blessés légers",7,6
"2494",5707,"accident avec blessés graves",7,2
"2495",5707,"accident avec blessés légers",7,5
"2496",5708,"accident avec blessés légers",1,1
"2497",5709,"accident avec blessés graves",1,1
"2498",5710,"accident avec blessés légers",2,2
"2499",5711,"accident avec blessés graves",3,1
"2500",5711,"accident avec blessés légers",3,2
"2501",5712,"accident avec blessés légers",3,3
"2502",5713,"accident avec blessés légers",2,2
"2503",5714,"accident avec blessés graves",3,1
"2504",5714,"accident avec blessés légers",3,2
"2505",5715,"accident avec blessés graves",9,1
"2506",5715,"accident avec blessés légers",9,8
"2507",5716,"accident avec blessés graves",7,2
"2508",5716,"accident avec blessés légers",7,5
"2509",5717,"accident avec blessés graves",4,2
"2510",5717,"accident avec blessés légers",4,2
"2511",5718,"accident avec blessés graves",3,1
"2512",5718,"accident avec blessés légers",3,2
"2513",5719,"accident avec blessés graves",3,1
"2514",5719,"accident avec blessés légers",3,2
"2515",5720,"accident avec blessés légers",1,1
"2516",5721,"accident avec blessés graves",19,2
"2517",5721,"accident avec blessés légers",19,17
"2518",5722,"accident avec blessés légers",2,2
"2519",5723,"accident avec blessés graves",5,2
"2520",5723,"accident avec blessés légers",5,3
"2521",5724,"accident avec tués",25,1
"2522",5724,"accident avec blessés graves",25,3
"2523",5724,"accident avec blessés légers",25,21
"2524",5725,"accident avec tués",11,1
"2525",5725,"accident avec blessés graves",11,2
"2526",5725,"accident avec blessés légers",11,8
"2527",5726,"accident avec blessés légers",5,5
"2528",5727,"accident avec tués",14,1
"2529",5727,"accident avec blessés graves",14,2
"2530",5727,"accident avec blessés légers",14,11
"2531",5728,"accident avec blessés graves",5,1
"2532",5728,"accident avec blessés légers",5,4
"2533",5729,"accident avec blessés légers",2,2
"2534",5730,"accident avec tués",7,1
"2535",5730,"accident avec blessés graves",7,1
"2536",5730,"accident avec blessés légers",7,5
"2537",5732,"accident avec blessés graves",3,1
"2538",5732,"accident avec blessés légers",3,2
"2539",5742,"accident avec blessés graves",2,1
"2540",5742,"accident avec blessés légers",2,1
"2541",5743,"accident avec tués",3,1
"2542",5743,"accident avec blessés légers",3,2
"2543",5745,"accident avec blessés graves",3,1
"2544",5745,"accident avec blessés légers",3,2
"2545",5746,"accident avec blessés graves",7,3
"2546",5746,"accident avec blessés légers",7,4
"2547",5748,"accident avec blessés légers",1,1
"2548",5749,"accident avec tués",9,1
"2549",5749,"accident avec blessés graves",9,1
"2550",5749,"accident avec blessés légers",9,7
"2551",5750,"accident avec blessés graves",2,2
"2552",5754,"accident avec blessés légers",2,2
"2553",5755,"accident avec tués",2,1
"2554",5755,"accident avec blessés légers",2,1
"2555",5756,"accident avec blessés légers",1,1
"2556",5757,"accident avec blessés graves",13,3
"2557",5757,"accident avec blessés légers",13,10
"2558",5760,"accident avec blessés légers",1,1
"2559",5761,"accident avec blessés graves",1,1
"2560",5764,"accident avec blessés graves",9,2
"2561",5764,"accident avec blessés légers",9,7
"2562",5765,"accident avec tués",3,1
"2563",5765,"accident avec blessés graves",3,2
"2564",5766,"accident avec blessés légers",1,1
"2565",5785,"accident avec blessés graves",2,1
"2566",5785,"accident avec blessés légers",2,1
"2567",5792,"accident avec blessés légers",4,4
"2568",5798,"accident avec blessés graves",1,1
"2569",5804,"accident avec blessés graves",6,2
"2570",5804,"accident avec blessés légers",6,4
"2571",5805,"accident avec blessés graves",8,5
"2572",5805,"accident avec blessés légers",8,3
"2573",5806,"accident avec blessés légers",1,1
"2574",5816,"accident avec blessés graves",3,1
"2575",5816,"accident avec blessés légers",3,2
"2576",5817,"accident avec blessés légers",1,1
"2577",5822,"accident avec blessés graves",27,7
"2578",5822,"accident avec blessés légers",27,20
"2579",5827,"accident avec blessés graves",2,2
"2580",5830,"accident avec blessés graves",1,1
"2581",5831,"accident avec tués",8,1
"2582",5831,"accident avec blessés graves",8,5
"2583",5831,"accident avec blessés légers",8,2
"2584",5841,"accident avec blessés graves",7,3
"2585",5841,"accident avec blessés légers",7,4
"2586",5842,"accident avec blessés graves",8,2
"2587",5842,"accident avec blessés légers",8,6
"2588",5843,"accident avec blessés graves",1,1
"2589",5852,"accident avec blessés graves",1,1
"2590",5853,"accident avec blessés légers",1,1
"2591",5857,"accident avec blessés graves",8,3
"2592",5857,"accident avec blessés légers",8,5
"2593",5858,"accident avec blessés légers",4,4
"2594",5859,"accident avec blessés légers",3,3
"2595",5860,"accident avec blessés graves",4,2
"2596",5860,"accident avec blessés légers",4,2
"2597",5861,"accident avec blessés graves",12,2
"2598",5861,"accident avec blessés légers",12,10
"2599",5871,"accident avec blessés graves",1,1
"2600",5872,"accident avec blessés graves",11,3
"2601",5872,"accident avec blessés légers",11,8
"2602",5873,"accident avec blessés graves",7,3
"2603",5873,"accident avec blessés légers",7,4
"2604",5882,"accident avec blessés graves",10,3
"2605",5882,"accident avec blessés légers",10,7
"2606",5883,"accident avec blessés graves",4,1
"2607",5883,"accident avec blessés légers",4,3
"2608",5884,"accident avec blessés graves",11,2
"2609",5884,"accident avec blessés légers",11,9
"2610",5886,"accident avec blessés graves",49,7
"2611",5886,"accident avec blessés légers",49,42
"2612",5889,"accident avec blessés graves",11,6
"2613",5889,"accident avec blessés légers",11,5
"2614",5890,"accident avec blessés graves",21,2
"2615",5890,"accident avec blessés légers",21,19
"2616",5891,"accident avec blessés légers",4,4
"2617",5892,"accident avec blessés graves",34,8
"2618",5892,"accident avec blessés légers",34,26
"2619",5902,"accident avec blessés graves",3,1
"2620",5902,"accident avec blessés légers",3,2
"2621",5905,"accident avec blessés légers",2,2
"2622",5911,"accident avec blessés graves",1,1
"2623",5913,"accident avec tués",3,1
"2624",5913,"accident avec blessés légers",3,2
"2625",5914,"accident avec blessés graves",8,1
"2626",5914,"accident avec blessés légers",8,7
"2627",5922,"accident avec tués",7,1
"2628",5922,"accident avec blessés légers",7,6
"2629",5926,"accident avec blessés graves",2,2
"2630",5928,"accident avec blessés graves",1,1
"2631",5930,"accident avec blessés légers",1,1
"2632",5933,"accident avec blessés graves",2,1
"2633",5933,"accident avec blessés légers",2,1
"2634",5938,"accident avec blessés graves",46,10
"2635",5938,"accident avec blessés légers",46,36
"2636",5939,"accident avec blessés graves",2,1
"2637",5939,"accident avec blessés légers",2,1
"2638",6002,"accident avec blessés graves",20,7
"2639",6002,"accident avec blessés légers",20,13
"2640",6004,"accident avec blessés légers",1,1
"2641",6007,"accident avec blessés graves",10,6
"2642",6007,"accident avec blessés légers",10,4
"2643",6008,"accident avec blessés graves",3,1
"2644",6008,"accident avec blessés légers",3,2
"2645",6009,"accident avec blessés graves",4,2
"2646",6009,"accident avec blessés légers",4,2
"2647",6011,"accident avec blessés graves",1,1
"2648",6021,"accident avec blessés graves",6,1
"2649",6021,"accident avec blessés légers",6,5
"2650",6022,"accident avec tués",6,1
"2651",6022,"accident avec blessés graves",6,2
"2652",6022,"accident avec blessés légers",6,3
"2653",6023,"accident avec blessés graves",20,5
"2654",6023,"accident avec blessés légers",20,15
"2655",6024,"accident avec blessés graves",14,3
"2656",6024,"accident avec blessés légers",14,11
"2657",6025,"accident avec blessés graves",13,1
"2658",6025,"accident avec blessés légers",13,12
"2659",6032,"accident avec blessés graves",2,1
"2660",6032,"accident avec blessés légers",2,1
"2661",6033,"accident avec blessés légers",3,3
"2662",6034,"accident avec tués",6,1
"2663",6034,"accident avec blessés graves",6,1
"2664",6034,"accident avec blessés légers",6,4
"2665",6035,"accident avec blessés graves",5,1
"2666",6035,"accident avec blessés légers",5,4
"2667",6037,"accident avec tués",20,1
"2668",6037,"accident avec blessés graves",20,5
"2669",6037,"accident avec blessés légers",20,14
"2670",6052,"accident avec blessés légers",1,1
"2671",6057,"accident avec blessés légers",2,2
"2672",6076,"accident avec blessés graves",11,6
"2673",6076,"accident avec blessés légers",11,5
"2674",6077,"accident avec blessés graves",5,2
"2675",6077,"accident avec blessés légers",5,3
"2676",6082,"accident avec blessés légers",4,4
"2677",6083,"accident avec blessés graves",3,1
"2678",6083,"accident avec blessés légers",3,2
"2679",6084,"accident avec blessés légers",1,1
"2680",6089,"accident avec blessés légers",3,3
"2681",6090,"accident avec blessés graves",5,2
"2682",6090,"accident avec blessés légers",5,3
"2683",6110,"accident avec tués",12,2
"2684",6110,"accident avec blessés graves",12,3
"2685",6110,"accident avec blessés légers",12,7
"2686",6111,"accident avec blessés graves",2,1
"2687",6111,"accident avec blessés légers",2,1
"2688",6116,"accident avec blessés légers",1,1
"2689",6117,"accident avec blessés légers",2,2
"2690",6118,"accident avec blessés légers",2,2
"2691",6119,"accident avec blessés légers",1,1
"2692",6131,"accident avec blessés graves",4,2
"2693",6131,"accident avec blessés légers",4,2
"2694",6133,"accident avec blessés graves",11,3
"2695",6133,"accident avec blessés légers",11,8
"2696",6135,"accident avec blessés graves",8,3
"2697",6135,"accident avec blessés légers",8,5
"2698",6136,"accident avec blessés graves",36,8
"2699",6136,"accident avec blessés légers",36,28
"2700",6137,"accident avec blessés graves",7,2
"2701",6137,"accident avec blessés légers",7,5
"2702",6139,"accident avec blessés graves",9,3
"2703",6139,"accident avec blessés légers",9,6
"2704",6140,"accident avec blessés graves",4,4
"2705",6141,"accident avec blessés graves",15,2
"2706",6141,"accident avec blessés légers",15,13
"2707",6142,"accident avec blessés graves",3,2
"2708",6142,"accident avec blessés légers",3,1
"2709",6151,"accident avec blessés graves",3,2
"2710",6151,"accident avec blessés légers",3,1
"2711",6152,"accident avec blessés graves",17,6
"2712",6152,"accident avec blessés légers",17,11
"2713",6153,"accident avec blessés graves",19,4
"2714",6153,"accident avec blessés légers",19,15
"2715",6154,"accident avec blessés graves",9,3
"2716",6154,"accident avec blessés légers",9,6
"2717",6155,"accident avec tués",4,1
"2718",6155,"accident avec blessés légers",4,3
"2719",6156,"accident avec blessés graves",5,2
"2720",6156,"accident avec blessés légers",5,3
"2721",6157,"accident avec blessés graves",5,1
"2722",6157,"accident avec blessés légers",5,4
"2723",6158,"accident avec blessés légers",1,1
"2724",6159,"accident avec blessés légers",7,7
"2725",6173,"accident avec blessés graves",2,1
"2726",6173,"accident avec blessés légers",2,1
"2727",6177,"accident avec blessés graves",1,1
"2728",6193,"accident avec blessés légers",1,1
"2729",6197,"accident avec blessés graves",1,1
"2730",6198,"accident avec blessés légers",4,4
"2731",6199,"accident avec blessés légers",2,2
"2732",6201,"accident avec blessés légers",1,1
"2733",6203,"accident avec blessés légers",3,3
"2734",6204,"accident avec blessés graves",2,1
"2735",6204,"accident avec blessés légers",2,1
"2736",6211,"accident avec blessés graves",1,1
"2737",6212,"accident avec blessés légers",1,1
"2738",6213,"accident avec blessés légers",6,6
"2739",6214,"accident avec blessés légers",1,1
"2740",6215,"accident avec blessés légers",3,3
"2741",6217,"accident avec blessés graves",6,2
"2742",6217,"accident avec blessés légers",6,4
"2743",6219,"accident avec blessés graves",5,1
"2744",6219,"accident avec blessés légers",5,4
"2745",6232,"accident avec blessés graves",3,1
"2746",6232,"accident avec blessés légers",3,2
"2747",6238,"accident avec tués",2,1
"2748",6238,"accident avec blessés légers",2,1
"2749",6239,"accident avec blessés légers",1,1
"2750",6240,"accident avec blessés légers",2,2
"2751",6248,"accident avec blessés graves",27,3
"2752",6248,"accident avec blessés légers",27,24
"2753",6252,"accident avec blessés graves",5,1
"2754",6252,"accident avec blessés légers",5,4
"2755",6253,"accident avec tués",20,1
"2756",6253,"accident avec blessés graves",20,8
"2757",6253,"accident avec blessés légers",20,11
"2758",6254,"accident avec blessés légers",3,3
"2759",6263,"accident avec blessés légers",4,4
"2760",6265,"accident avec blessés graves",8,1
"2761",6265,"accident avec blessés légers",8,7
"2762",6266,"accident avec blessés graves",70,16
"2763",6266,"accident avec blessés légers",70,54
"2764",6267,"accident avec blessés légers",1,1
"2765",6281,"accident avec blessés légers",2,2
"2766",6282,"accident avec blessés graves",4,1
"2767",6282,"accident avec blessés légers",4,3
"2768",6285,"accident avec blessés graves",2,2
"2769",6286,"accident avec blessés légers",1,1
"2770",6287,"accident avec blessés graves",2,2
"2771",6288,"accident avec blessés graves",2,2
"2772",6290,"accident avec blessés légers",2,2
"2773",6291,"accident avec blessés graves",2,1
"2774",6291,"accident avec blessés légers",2,1
"2775",6292,"accident avec blessés graves",2,1
"2776",6292,"accident avec blessés légers",2,1
"2777",6293,"accident avec blessés graves",3,1
"2778",6293,"accident avec blessés légers",3,2
"2779",6295,"accident avec blessés légers",1,1
"2780",6297,"accident avec blessés graves",18,6
"2781",6297,"accident avec blessés légers",18,12
"2782",6298,"accident avec blessés légers",1,1
"2783",6300,"accident avec tués",12,1
"2784",6300,"accident avec blessés graves",12,2
"2785",6300,"accident avec blessés légers",12,9
"2786",6404,"accident avec blessés graves",8,2
"2787",6404,"accident avec blessés légers",8,6
"2788",6408,"accident avec tués",7,1
"2789",6408,"accident avec blessés graves",7,2
"2790",6408,"accident avec blessés légers",7,4
"2791",6413,"accident avec blessés graves",12,2
"2792",6413,"accident avec blessés légers",12,10
"2793",6416,"accident avec blessés graves",15,4
"2794",6416,"accident avec blessés légers",15,11
"2795",6417,"accident avec blessés légers",6,6
"2796",6421,"accident avec tués",77,1
"2797",6421,"accident avec blessés graves",77,10
"2798",6421,"accident avec blessés légers",77,66
"2799",6423,"accident avec blessés légers",2,2
"2800",6432,"accident avec blessés graves",4,2
"2801",6432,"accident avec blessés légers",4,2
"2802",6433,"accident avec blessés légers",2,2
"2803",6434,"accident avec blessés légers",5,5
"2804",6435,"accident avec blessés graves",5,3
"2805",6435,"accident avec blessés légers",5,2
"2806",6436,"accident avec blessés graves",21,7
"2807",6436,"accident avec blessés légers",21,14
"2808",6437,"accident avec blessés légers",5,5
"2809",6451,"accident avec blessés légers",7,7
"2810",6452,"accident avec blessés légers",4,4
"2811",6455,"accident avec blessés légers",12,12
"2812",6458,"accident avec tués",106,1
"2813",6458,"accident avec blessés graves",106,13
"2814",6458,"accident avec blessés légers",106,92
"2815",6487,"accident avec tués",41,2
"2816",6487,"accident avec blessés graves",41,7
"2817",6487,"accident avec blessés légers",41,32
"2818",6504,"accident avec blessés légers",2,2
"2819",6511,"accident avec blessés légers",2,2
"2820",6512,"accident avec blessés graves",24,7
"2821",6512,"accident avec blessés légers",24,17
"2822",6513,"accident avec tués",30,1
"2823",6513,"accident avec blessés graves",30,3
"2824",6513,"accident avec blessés légers",30,26
"2825",6601,"accident avec blessés graves",3,3
"2826",6602,"accident avec blessés graves",5,1
"2827",6602,"accident avec blessés légers",5,4
"2828",6603,"accident avec blessés graves",1,1
"2829",6604,"accident avec blessés graves",1,1
"2830",6605,"accident avec blessés graves",6,1
"2831",6605,"accident avec blessés légers",6,5
"2832",6606,"accident avec blessés graves",13,5
"2833",6606,"accident avec blessés légers",13,8
"2834",6607,"accident avec tués",18,1
"2835",6607,"accident avec blessés graves",18,6
"2836",6607,"accident avec blessés légers",18,11
"2837",6608,"accident avec blessés graves",62,21
"2838",6608,"accident avec blessés légers",62,41
"2839",6609,"accident avec blessés légers",3,3
"2840",6610,"accident avec blessés graves",4,3
"2841",6610,"accident avec blessés légers",4,1
"2842",6612,"accident avec blessés graves",41,15
"2843",6612,"accident avec blessés légers",41,26
"2844",6613,"accident avec blessés graves",10,3
"2845",6613,"accident avec blessés légers",10,7
"2846",6614,"accident avec blessés légers",1,1
"2847",6615,"accident avec blessés graves",5,3
"2848",6615,"accident avec blessés légers",5,2
"2849",6616,"accident avec blessés graves",20,6
"2850",6616,"accident avec blessés légers",20,14
"2851",6617,"accident avec blessés graves",19,9
"2852",6617,"accident avec blessés légers",19,10
"2853",6618,"accident avec blessés légers",3,3
"2854",6619,"accident avec blessés graves",9,2
"2855",6619,"accident avec blessés légers",9,7
"2856",6620,"accident avec blessés légers",2,2
"2857",6621,"accident avec tués",517,5
"2858",6621,"accident avec blessés graves",517,166
"2859",6621,"accident avec blessés légers",517,346
"2860",6622,"accident avec blessés graves",4,1
"2861",6622,"accident avec blessés légers",4,3
"2862",6623,"accident avec blessés graves",23,9
"2863",6623,"accident avec blessés légers",23,14
"2864",6624,"accident avec blessés graves",1,1
"2865",6626,"accident avec blessés graves",6,2
"2866",6626,"accident avec blessés légers",6,4
"2867",6627,"accident avec blessés graves",2,1
"2868",6627,"accident avec blessés légers",2,1
"2869",6628,"accident avec blessés graves",88,35
"2870",6628,"accident avec blessés légers",88,53
"2871",6629,"accident avec blessés graves",6,2
"2872",6629,"accident avec blessés légers",6,4
"2873",6630,"accident avec blessés graves",68,28
"2874",6630,"accident avec blessés légers",68,40
"2875",6631,"accident avec blessés graves",14,4
"2876",6631,"accident avec blessés légers",14,10
"2877",6632,"accident avec blessés graves",17,3
"2878",6632,"accident avec blessés légers",17,14
"2879",6633,"accident avec tués",32,1
"2880",6633,"accident avec blessés graves",32,10
"2881",6633,"accident avec blessés légers",32,21
"2882",6634,"accident avec blessés graves",3,2
"2883",6634,"accident avec blessés légers",3,1
"2884",6636,"accident avec blessés graves",2,1
"2885",6636,"accident avec blessés légers",2,1
"2886",6637,"accident avec tués",5,1
"2887",6637,"accident avec blessés graves",5,2
"2888",6637,"accident avec blessés légers",5,2
"2889",6638,"accident avec tués",18,1
"2890",6638,"accident avec blessés graves",18,5
"2891",6638,"accident avec blessés légers",18,12
"2892",6639,"accident avec blessés graves",4,2
"2893",6639,"accident avec blessés légers",4,2
"2894",6640,"accident avec tués",29,1
"2895",6640,"accident avec blessés graves",29,8
"2896",6640,"accident avec blessés légers",29,20
"2897",6641,"accident avec blessés graves",5,3
"2898",6641,"accident avec blessés légers",5,2
"2899",6642,"accident avec blessés graves",4,3
"2900",6642,"accident avec blessés légers",4,1
"2901",6643,"accident avec tués",84,1
"2902",6643,"accident avec blessés graves",84,32
"2903",6643,"accident avec blessés légers",84,51
"2904",6644,"accident avec blessés graves",22,8
"2905",6644,"accident avec blessés légers",22,14
"2906",6645,"accident avec tués",19,1
"2907",6645,"accident avec blessés graves",19,7
"2908",6645,"accident avec blessés légers",19,11
"2909",6702,"accident avec blessés graves",4,2
"2910",6702,"accident avec blessés légers",4,2
"2911",6703,"accident avec blessés légers",1,1
"2912",6704,"accident avec blessés légers",1,1
"2913",6708,"accident avec blessés graves",7,2
"2914",6708,"accident avec blessés légers",7,5
"2915",6709,"accident avec blessés graves",2,1
"2916",6709,"accident avec blessés légers",2,1
"2917",6710,"accident avec blessés légers",1,1
"2918",6711,"accident avec blessés graves",20,4
"2919",6711,"accident avec blessés légers",20,16
"2920",6712,"accident avec blessés légers",2,2
"2921",6715,"accident avec blessés graves",2,1
"2922",6715,"accident avec blessés légers",2,1
"2923",6716,"accident avec blessés légers",1,1
"2924",6719,"accident avec blessés légers",1,1
"2925",6722,"accident avec blessés légers",1,1
"2926",6724,"accident avec blessés graves",2,1
"2927",6724,"accident avec blessés légers",2,1
"2928",6729,"accident avec blessés graves",16,6
"2929",6729,"accident avec blessés légers",16,10
"2930",6730,"accident avec blessés légers",1,1
"2931",6742,"accident avec blessés légers",4,4
"2932",6743,"accident avec tués",4,1
"2933",6743,"accident avec blessés graves",4,1
"2934",6743,"accident avec blessés légers",4,2
"2935",6748,"accident avec blessés légers",1,1
"2936",6751,"accident avec blessés graves",2,1
"2937",6751,"accident avec blessés légers",2,1
"2938",6753,"accident avec blessés graves",1,1
"2939",6757,"accident avec blessés légers",2,2
"2940",6758,"accident avec blessés légers",4,4
"2941",6759,"accident avec blessés légers",2,2
"2942",6771,"accident avec blessés légers",4,4
"2943",6774,"accident avec blessés légers",1,1
"2944",6778,"accident avec blessés légers",2,2
"2945",6782,"accident avec blessés légers",1,1
"2946",6784,"accident avec blessés légers",1,1
"2947",6800,"accident avec blessés graves",10,3
"2948",6800,"accident avec blessés légers",10,7
"2949",6808,"accident avec blessés légers",4,4
"2950",6809,"accident avec blessés graves",2,1
"2951",6809,"accident avec blessés légers",2,1
"2952",6810,"accident avec blessés légers",2,2
"2953",6811,"accident avec blessés graves",2,2
