accident_uid,accident_type,accident_type_de,accident_type_fr,accident_type_it,accident_type_en,accident_severity_category,accident_severity_category_de,accident_severity_category_fr,accident_severity_category_it,accident_severity_category_en,accident_involving_pedestrian,accident_involving_bicycle,accident_involving_motorcycle,road_type,road_type_de,road_type_fr,road_type_it,road_type_en,canton_code,municipality_code,accident_year,accident_month,accident_month_de,accident_month_fr,accident_month_it,accident_month_en,accident_week_day,accident_week_day_de,accident_week_day_fr,accident_week_day_it,accident_week_day_en,accident_hour,accident_hour_text,gemeinde_f,gemeinde_d,lon,lat
1D7EDA5DF55702D8E0630AB38B02A32A,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,ZH,261,2024,6,Juni,juin,Giugno,June,aw402,Dienstag,mardi,Martedì,Tuesday,17,17h-18h,Zurich,Zürich,8.517734191632636,47.37239829379734
1DD10D50A6F40188E0630AB38B02DC46,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,BS,2701,2024,6,Juni,juin,Giugno,June,aw406,Samstag,samedi,Sabato,Saturday,01,01h-02h,Bâle,Basel,7.586905010205078,47.551302334766746
1DD114A715F90222E0630AB38B0269A7,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,BE,782,2024,7,Juli,juillet,Luglio,July,aw405,Freitag,vendredi,Venerdì,Friday,18,18h-19h,Guttannen,Guttannen,8.333023056723523,46.58470758313249
1DD114A718D40222E0630AB38B0269A7,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as1,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,BE,791,2024,7,Juli,juillet,Luglio,July,aw404,Donnerstag,jeudi,Giovedì,Thursday,10,10h-11h,Boltigen,Boltigen,7.3746186991259695,46.60483167938671
1DD8AD948E520244E0630AB38B02EFC9,at2,Auffahrunfall,accident par tamponnement,Incidente di tamponamento,Accident with rear-end collision,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt430,Autobahn,autoroute,Autostrada,Motorway,BE,983,2024,6,Juni,juin,Giugno,June,aw406,Samstag,samedi,Sabato,Saturday,16,16h-17h,Oberbipp,Oberbipp,7.674010323807383,47.25295560026862
1DD8B4CA9D030280E0630AB38B028391,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,AG,4181,2024,4,April,avril,Aprile,April,aw404,Donnerstag,jeudi,Giovedì,Thursday,14,14h-15h,Wittnau,Wittnau,7.975946852864393,47.479982277677465
1EEAAF87D9D201CAE0630AB38B0254C9,at6,Frontalkollision,collision frontale,Collisione frontale,Accident with head-on collision,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt431,Autostrasse,semi-autoroute,Semiautostrada,Expressway,GR,3712,2024,7,Juli,juillet,Luglio,July,aw407,Sonntag,dimanche,Domenica,Sunday,18,18h-19h,Zillis-Reischen,Zillis-Reischen,9.44597698598276,46.66186650325576
1EEAAFC42E0302FCE0630AB38B02C792,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,ZH,261,2024,7,Juli,juillet,Luglio,July,aw401,Montag,lundi,Lunedí,Monday,18,18h-19h,Zurich,Zürich,8.526714990130898,47.36217652087439
1EEAAFC4417D02FCE0630AB38B02C792,at3,Abbiegeunfall,accident en quittant une route,Incidente nello svoltare,Accident when turning left or right,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,VS,6023,2024,7,Juli,juillet,Luglio,July,aw403,Mittwoch,mercredi,Mercoledì,Wednesday,07,07h-08h,Conthey,Conthey,7.3080657440254155,46.224502363672585
1EEAAFC458F902FCE0630AB38B02C792,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,TRUE,TRUE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,SZ,1311,2024,3,März,mars,Marzo,March,aw406,Samstag,samedi,Sabato,Saturday,16,16h-17h,Gersau,Gersau,8.503204561906731,46.99226449236568
1EEAB446995C01E0E0630AB38B02A06C,at2,Auffahrunfall,accident par tamponnement,Incidente di tamponamento,Accident with rear-end collision,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,TG,4801,2024,7,Juli,juillet,Luglio,July,aw407,Sonntag,dimanche,Domenica,Sunday,17,17h-18h,Berlingen,Berlingen,9.01129129162433,47.67224974485256
1F685AA1F71C01D6E0630AB38B02F4EB,at4,Einbiegeunfall,accident en s'engageant sur une route,Incidente nell’immettersi in una strada,Accident when turning-into main road,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,VD,5831,2024,6,Juni,juin,Giugno,June,aw401,Montag,lundi,Lunedí,Monday,13,13h-14h,Valbroye,Valbroye,6.888015240734487,46.76302505531874
1F69EB18A1730180E0630AB38B02CB11,at5,Überqueren der Fahrbahn,accident en traversant une route,Incidente nell'attraversare la carreggiata,Accident when crossing the lane(s),as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,ZH,261,2024,5,Mai,mai,Maggio,May,aw401,Montag,lundi,Lunedí,Monday,20,20h-21h,Zurich,Zürich,8.518216415720783,47.376594502750386
1F777E3B90140112E0630AB38B023851,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,FR,2196,2024,7,Juli,juillet,Luglio,July,aw405,Freitag,vendredi,Venerdì,Friday,00,00h-01h,Fribourg,Freiburg,7.145341628341465,46.80965780251295
1F777E3B995E0112E0630AB38B023851,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,NE,6512,2024,8,August,août,Agosto,August,aw403,Mittwoch,mercredi,Mercoledì,Wednesday,12,12h-13h,Val-de-Travers,Val-de-Travers,6.682622987734068,46.95300629855225
1FA0B2D2F5A80164E0630AB38B022B79,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,GR,3714,2024,8,August,août,Agosto,August,aw406,Samstag,samedi,Sabato,Saturday,09,09h-10h,Rheinwald,Rheinwald,9.231163900647939,46.54332025412412
1FA0B2D309630164E0630AB38B022B79,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt439,andere,autre,Altro,Other,ZH,84,2024,7,Juli,juillet,Luglio,July,aw401,Montag,lundi,Lunedí,Monday,22,22h-23h,Dällikon,Dällikon,8.438465382395709,47.43485262959005
207CFFA3F88E0134E0630AB38B02F2DA,at4,Einbiegeunfall,accident en s'engageant sur une route,Incidente nell’immettersi in una strada,Accident when turning-into main road,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,SG,3203,2024,8,August,août,Agosto,August,aw401,Montag,lundi,Lunedí,Monday,13,13h-14h,Saint-Gall,St. Gallen,9.386746514905187,47.424830741727355
208F6DCC92D201E6E0630AB38B0254F6,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,ZH,176,2024,8,August,août,Agosto,August,aw405,Freitag,vendredi,Venerdì,Friday,11,11h-12h,Lindau,Lindau,8.668450220214027,47.41781133586959
209109EB78C601FEE0630AB38B022907,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,TRUE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,AG,4095,2024,8,August,août,Agosto,August,aw405,Freitag,vendredi,Venerdì,Friday,07,07h-08h,Brugg,Brugg,8.204823610469251,47.48662728612056
20911025B2990176E0630AB38B02AB41,at6,Frontalkollision,collision frontale,Collisione frontale,Accident with head-on collision,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,BE,404,2024,8,August,août,Agosto,August,aw404,Donnerstag,jeudi,Giovedì,Thursday,06,06h-07h,Berthoud,Burgdorf,7.611497917259317,47.05587262759376
