"lon","lat","gemeinde_f","accident_severity_category_fr"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.3108,47.1294,"Eschenbach (LU)","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5065,47.4192,"Zurich","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
8.5853,47.1375,"Unterägeri","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
9.5554,47.3885,"Altstätten","a"
7.3854,46.1868,"Vex","a"
7.3854,46.1868,"Vex","a"
7.3854,46.1868,"Vex","a"
7.3854,46.1868,"Vex","a"
7.3854,46.1868,"Vex","a"
7.3854,46.1868,"Vex","a"
7.3854,46.1868,"Vex","a"
7.3854,46.1868,"Vex","a"
7.3854,46.1868,"Vex","a"
7.3854,46.1868,"Vex","a"
7.3854,46.1868,"Vex","a"
7.3854,46.1868,"Vex","a"
7.3854,46.1868,"Vex","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
7.5177,46.9324,"Muri bei Bern","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
6.2341,46.2148,"Puplinge","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
8.3085,47.4827,"Obersiggenthal","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.4984,46.8948,"Belp","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
7.2244,46.182,"Chamoson","a"
8.5697,47.7733,"Merishausen","a"
8.5697,47.7733,"Merishausen","a"
8.5697,47.7733,"Merishausen","a"
8.5697,47.7733,"Merishausen","a"
8.5697,47.7733,"Merishausen","a"
8.5697,47.7733,"Merishausen","a"
8.5697,47.7733,"Merishausen","a"
8.5697,47.7733,"Merishausen","a"
8.5697,47.7733,"Merishausen","a"
8.5697,47.7733,"Merishausen","a"
8.5697,47.7733,"Merishausen","a"
8.5697,47.7733,"Merishausen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
7.4573,46.9934,"Zollikofen","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
8.519,47.3443,"Zurich","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
7.405,46.2625,"Ayent","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
8.4861,46.5895,"Realp","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
7.0797,46.7524,"Hauterive (FR)","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
6.4349,46.5399,"Hautemorges","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
8.5441,47.0505,"Arth","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.4987,46.5094,"Morges","a"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
